Country,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Population_mln,Life_expectancy
Croatia,European Union,2023,5.8,6.7,112.169,4.31,75.2
Libya,Africa,2022,21,24.4,137.419,5.71,71.7
Bolivia,South America,2018,55.9,75.6,240.0465,8.42,62.5
Maldives,Asia,2021,22.8,27.1,109.936,0.3,72.4
Vanuatu,Oceania,2023,23.6,28.2,161.244,0.21,68.4
Eswatini,Africa,2023,50.1,62.4,443.15,1.1,53.6
Iraq,Middle East,2018,35.6,44.5,163.596,23.5,69.1
Liberia,Africa,2020,111.9,163.7,344.857,3.02,52.8
Guinea-Bissau,Africa,2022,64.3,99.7,277.9945,1.65,56.1
Cote d'Ivoire,Africa,2020,72.9,103.1,416.7045,21.03,53.6
Haiti,Central America and Caribbean,2018,60,81.2,267.026,9.8,60.1
Togo,Africa,2020,71.8,112.9,334.717,5.2,53.7
"Bahamas, The",Central America and Caribbean,2017,13.9,16.2,172.336,0.34,72
Nicaragua,Central America and Caribbean,2020,19.5,22.9,157.757,5.9,72.7
Trinidad and Tobago,Central America and Caribbean,2020,19.5,21.8,174.802,1.34,72.2
Samoa,Oceania,2018,18.8,25.7,133.7445,0.18,71.4
Djibouti,Africa,2022,72.9,91.1,311.1355,0.77,57.7
Zimbabwe,Africa,2017,54.5,94.5,594.7345,12.38,46.5
Liberia,Africa,2018,74.2,103.6,272.1635,3.75,59
Jordan,Middle East,2015,15,17.5,109.942,9.27,74.1
Latvia,European Union,2017,7.3,8.8,198.7445,2.18,72.4
Bangladesh,Asia,2019,60,81.1,166.197,130.09,66
Moldova,Rest of Europe,2016,15.7,18.3,228.2265,2.87,68.3
Grenada,Central America and Caribbean,2019,13,15.1,151.4055,0.11,72.9
Tanzania,Africa,2015,40.9,58.1,239.667,51.48,63.1
Kuwait,Middle East,2023,7.7,8.9,59.3025,3.69,75
Gabon,Africa,2015,36.1,50.3,238.5125,1.95,64.9
Mozambique,Africa,2020,100.3,152.6,445.308,18.76,49.6
Senegal,Africa,2018,67.7,129.5,250.914,9.8,57.8
Armenia,Rest of Europe,2020,15.5,17.3,133.0115,2.88,73.6
Belgium,European Union,2019,4.6,5.6,97.8795,10.29,78
Cyprus,European Union,2020,2.7,3.2,56.015,1.12,79.6
Lebanon,Middle East,2023,12.1,14.1,81.015,4.7,76.9
Ireland,European Union,2023,4.4,5.2,77.6135,4.16,78.9
Tunisia,Africa,2020,22,26.1,107.7635,9.87,73.6
Zimbabwe,Africa,2019,51.1,93.8,703.677,11.92,44
Azerbaijan,Asia,2015,23.3,26.3,124.897,9.65,72.3
Sao Tome and Principe,Central America and Caribbean,2021,45,65.6,214.3245,0.15,63.4
Nigeria,Africa,2015,79.3,126.4,356.2145,181.14,53.1
Thailand,Asia,2015,9.3,10.8,148.889,68.71,76.1
Albania,Rest of Europe,2015,16.6,18.5,83.5945,2.99,75.4
Romania,European Union,2023,8.3,9.9,130.962,19.91,74.9
Equatorial Guinea,Africa,2016,87.4,124.4,336.8925,0.82,54.8
Brunei Darussalam,Asia,2018,8.2,10.3,106.3215,0.33,73.1
Eswatini,Africa,2015,58.8,109,588.7775,1.04,42.7
"Egypt, Arab Rep.",Africa,2023,29.3,35.7,170.095,75.52,69.4
Zambia,Africa,2022,46.6,71.1,316.2765,14.93,59.7
Kenya,Africa,2021,53.2,85.4,459.654,34.68,52.4
Haiti,Central America and Caribbean,2023,54.1,71.9,246.6045,10.55,62.1
Rwanda,Africa,2021,38.8,54.9,220.852,10.55,65.4
Iceland,Rest of Europe,2022,1.9,2.4,53.1585,0.32,82.1
Sierra Leone,Africa,2017,114.2,174.9,440.0625,6.13,47.5
Qatar,Middle East,2023,7,8.1,57.076,2.46,79.6
Switzerland,Rest of Europe,2020,3.9,4.5,54.1965,7.91,82.7
Kenya,Africa,2015,45.7,72,374.103,37.65,56.1
Mongolia,Asia,2015,16.6,19.4,212.841,3,69.1
Central African Republic,Africa,2023,106.1,160.8,523.723,4.04,44.7
Grenada,Central America and Caribbean,2021,12.5,14.8,171.547,0.1,73
Gabon,Africa,2020,51.2,79.6,328.5085,1.29,57.8
Mauritania,Africa,2021,68.3,110.8,225.6,2.86,61
Portugal,European Union,2015,3,3.6,73.283,10.36,81.1
Myanmar,Asia,2017,63.4,98.4,216.1595,49.93,62.7
Algeria,Africa,2021,22.5,26.2,100.2023,37.38,75.4
Tanzania,Africa,2020,45.5,68.4,301.7985,45.67,59.5
Colombia,South America,2020,15.2,17.7,145.9445,45.66,75.7
Tanzania,Africa,2023,58.5,93.9,395.016,38.45,54.3
Comoros,Africa,2021,58.9,79.4,234.8335,0.72,62.6
Togo,Africa,2023,52.2,78.3,275.155,7.14,59.6
Ireland,European Union,2018,3.6,4.3,73.9955,4.54,80.2
Jordan,Middle East,2020,21.4,25.3,127.8375,5.32,72.1
Netherlands,European Union,2022,3.5,4.1,60.819,16.8,81.3
Cyprus,European Union,2019,5.2,6,67.9315,0.96,78.1
Belgium,European Union,2016,3.9,4.7,86.1695,10.63,79.8
Lithuania,European Union,2018,8.6,10.7,197.9555,3.5,72
Liberia,Africa,2022,66.9,92,252.3375,4.25,61.2
Ukraine,Rest of Europe,2020,9.6,11.2,203.8,45.71,70.8
"Gambia, The",Africa,2020,58.1,104.2,295.754,1.4,56.8
Suriname,South America,2016,22.2,25,187.5935,0.51,69.6
Slovenia,European Union,2020,2.5,3.1,81.406,2.05,80
Brazil,South America,2021,25.1,28.4,174.611,181.81,71.2
Somalia,Africa,2018,98.7,161.9,328.7635,11.72,53.7
Guinea,Africa,2015,81.5,130.4,311.2915,9.31,54.1
Sao Tome and Principe,Central America and Caribbean,2021,23.7,30.2,195.5055,0.19,68.3
New Zealand,Oceania,2022,4.8,5.8,66.5335,4.44,81.4
Saudi Arabia,Middle East,2021,15.8,18.5,104.079,22.46,73.1
Guinea-Bissau,Africa,2016,82.5,132.2,296.2785,1.41,53.1
Canada,North America,2021,4.9,5.6,67.445,34.71,81.6
Maldives,Asia,2015,8.4,9.8,68.362,0.45,77.7
Lesotho,Africa,2023,71.9,94.2,518.279,2.04,49.9
Comoros,Africa,2015,54.4,72.3,227.2735,0.78,63.5
Trinidad and Tobago,Central America and Caribbean,2015,17.3,19.3,168.7145,1.37,72.9
Mauritania,Africa,2015,66.1,106.1,219.9,3.11,61.6
Burundi,Africa,2017,66.5,103.6,333.529,8.13,55.7
United Arab Emirates,Middle East,2015,6.5,7.6,68.5765,9.26,77.3
Latvia,European Union,2018,6.9,8.3,185.722,2.14,73.1
Timor-Leste,Oceania,2018,53.6,64.4,167.5715,1.07,66.8
Sri Lanka,Asia,2020,13.4,15.5,140.0585,19.06,73.1
Brazil,South America,2017,18.4,20.6,159.6305,192.03,73
Moldova,Rest of Europe,2015,16.3,19,229.8025,2.88,68
Costa Rica,Central America and Caribbean,2021,8.6,9.9,90.369,4.69,79.1
Slovak Republic,European Union,2017,6.1,7.4,134.367,5.38,74.7
Slovenia,European Union,2020,4.1,4.9,115.2275,1.99,76
Costa Rica,Central America and Caribbean,2016,9.7,11.1,94.6415,4.4,78.4
Libya,Africa,2016,17.3,20.2,130.9605,5.97,72.2
Mexico,North America,2016,18.2,21.3,121.657,109.17,75.3
Papua New Guinea,Oceania,2018,45.9,59.3,236.9375,7.14,61.7
Peru,South America,2019,27.2,35.3,151.0545,26.8,71.5
Latvia,European Union,2022,5.1,6,167.92,2.01,74
Uzbekistan,Asia,2015,34.8,40.1,176.2165,26.49,68.7
Slovenia,European Union,2021,2.4,2.9,80.7685,2.06,80.1
Lao PDR,Asia,2022,66.1,90.8,249.926,5.66,61.1
Uzbekistan,Asia,2023,37.4,43.4,179.348,26.17,68.4
Malaysia,Asia,2019,6.9,8.1,127.3235,28.21,74.5
Portugal,European Union,2020,3,3.7,83.842,10.56,80.5
Honduras,Central America and Caribbean,2021,26.6,32.1,165.7915,7.11,71.5
Samoa,Oceania,2016,16.5,19.3,143.1185,0.18,70.9
Algeria,Africa,2020,22.9,26.7,102.167,36.66,75.2
Burkina Faso,Africa,2018,70.3,126.9,285.488,15.14,56.4
Guinea-Bissau,Africa,2019,102.1,168.4,304.195,1.23,50.7
Philippines,Asia,2019,24.8,31.7,206.525,93.97,69.8
France,European Union,2019,3.9,5.3,99.592,61.36,79.2
Malawi,Africa,2019,52.4,84.2,390.2415,14.54,55.6
Antigua and Barbuda,Central America and Caribbean,2021,11.5,14.1,150.412,0.08,74.6
Grenada,Central America and Caribbean,2020,12.6,15,174.2165,0.1,72.9
"Congo, Rep.",Africa,2020,68,106.2,422.489,3.31,53.1
Tajikistan,Asia,2020,58.4,71,167.8915,6.43,63.7
Angola,Africa,2021,67.4,105.1,252.352,25.11,57.2
Jordan,Middle East,2022,20.2,23.9,124.424,5.58,72.4
Cuba,Central America and Caribbean,2021,4.8,6.1,93.229,11.26,78.4
South Africa,Africa,2021,31,41.5,400.445,52.83,60.1
Israel,Middle East,2023,4.5,5.6,69.3715,6.93,80.2
Portugal,European Union,2022,3.9,5,98.033,10.48,77.7
Iceland,Rest of Europe,2023,1.9,2.4,55.2385,0.33,82.9
Seychelles,Africa,2023,11.8,13.7,166.0905,0.08,72.1
"Gambia, The",Africa,2017,48.6,80.3,279.9295,1.69,59
Libya,Africa,2020,22.7,26.5,141.7245,5.53,71.2
"Congo, Dem. Rep.",Africa,2015,92.8,131.4,304.8745,56.58,54.4
Cabo Verde,Africa,2023,17.9,21,127.3355,0.52,71.9
Ukraine,Rest of Europe,2018,15.7,18.3,256.5475,49.18,67.7
Djibouti,Africa,2015,69.4,86.1,299.0395,0.79,58.3
Germany,European Union,2018,4.4,5.4,94.405,82.21,77.9
Kenya,Africa,2022,37.4,52.3,233.9175,45.52,63.4
Bolivia,South America,2017,36.7,46.9,208.323,9.72,66.9
Uganda,Africa,2015,38.9,55.7,311.7215,38.23,61.4
Latvia,European Union,2022,9.2,11.2,213.151,2.26,72
Romania,European Union,2022,16.5,19.4,165.474,21.45,71.6
Cambodia,Asia,2022,56.9,70.7,228.9875,13.07,62.2
Bahrain,Middle East,2018,10.7,12.5,88.5395,0.66,74.4
Uruguay,South America,2019,9.3,10.7,111.704,3.36,76.8
Turkiye,Middle East,2016,19.2,22.5,123.188,69.58,73.2
South Africa,Africa,2020,32.1,45.6,424.9215,52,58.9
Chile,South America,2019,8.7,10.3,106.8675,15.52,76.6
Madagascar,Africa,2022,58,88.5,266.172,17.8,60.8
Guatemala,Central America and Caribbean,2023,24.6,29.5,165.9155,15.31,72.9
"Gambia, The",Africa,2019,45.8,73.6,274.965,1.79,59.6
United States,North America,2020,6.1,7.2,105.032,311.58,78.6
Samoa,Oceania,2021,16.4,19.1,119.683,0.19,72.1
Lao PDR,Asia,2016,58.7,79.1,231.569,5.94,62.7
Australia,Oceania,2021,4.9,5.9,69.879,19.9,80.2
Kenya,Africa,2017,41.4,63.5,324.2835,39.79,58.8
Singapore,Asia,2022,2.2,2.8,53.8245,5.4,82.2
Togo,Africa,2022,68,106.3,331.999,5.47,54.2
Djibouti,Africa,2022,57.8,70.1,256.191,0.88,62.2
Saudi Arabia,Middle East,2018,18.8,22,109.984,20.66,72.6
Eswatini,Africa,2022,49.5,62.5,451.479,1.09,51.7
Eritrea,Africa,2015,44.5,64.6,324.3455,2.92,59.5
Gabon,Africa,2023,37.2,52.8,244.635,1.88,64.3
Bangladesh,Asia,2023,49.4,64.6,153.489,139.04,67.8
Greece,European Union,2020,3.5,4,73.7325,11.1,80.7
Armenia,Rest of Europe,2015,20,22.5,144.2585,2.96,72.7
Indonesia,Asia,2018,41,52.2,190.7545,211.51,65.8
Pakistan,Asia,2022,65.4,80.6,162.208,191.26,66.1
Vietnam,Asia,2016,19.1,23.9,134.8,85.42,74.5
United Kingdom,Rest of Europe,2020,4.3,5,71.514,63.26,81
Morocco,Africa,2015,33.6,39.3,104.479,30.8,72.4
Costa Rica,Central America and Caribbean,2019,9.2,10.5,92.078,4.58,78.8
Brazil,South America,2020,26.8,30.4,177.768,179.54,70.8
Hungary,European Union,2022,4.7,5.6,133.9655,9.89,75.6
Albania,Rest of Europe,2018,24.1,27.2,94.6955,3.09,74
"Congo, Rep.",Africa,2021,40.7,57.9,284.405,4.51,61.4
Chile,South America,2018,9.2,10.9,108.8855,15.34,76.4
Antigua and Barbuda,Central America and Caribbean,2019,12.3,15.1,154.2495,0.08,74.2
Tajikistan,Asia,2019,62.9,77.2,173.3405,6.32,62.8
Solomon Islands,Oceania,2023,24.4,29.3,196.3945,0.47,69.2
Kiribati,Oceania,2016,50,65.5,211.21,0.1,65
Afghanistan,Asia,2023,77.3,108.4,278.3395,25.65,58.3
Sao Tome and Principe,Central America and Caribbean,2015,18.5,23.1,191.586,0.2,69.4
Myanmar,Asia,2015,55.8,74.5,222.7865,49.3,61.9
Belarus,Rest of Europe,2023,3.3,4.3,175.6015,9.45,73
Albania,Rest of Europe,2022,9.3,10.4,78.243,2.9,77.6
"Yemen, Rep.",Middle East,2015,52.3,69.1,245.522,20.69,64
St. Lucia,Central America and Caribbean,2021,15.7,18.3,167.83,0.16,73.8
Zimbabwe,Africa,2023,42.9,62.7,386.5745,13.59,58.4
Kyrgyz Republic,Asia,2019,26.1,29.5,198.813,5.45,69.3
Nicaragua,Central America and Caribbean,2021,18.7,22,154.948,5.98,73
Australia,Oceania,2019,5,6.1,73.7145,19.41,79.6
Turkiye,Middle East,2018,30.9,37.9,145.7185,63.24,70
Pakistan,Asia,2015,62.1,76,160.141,199.43,66.6
Bhutan,Asia,2015,42.3,54.1,245.7,0.66,66
Montenegro,Rest of Europe,2018,12.5,14.2,138.1465,0.6,73.2
Finland,European Union,2020,2.4,2.9,83.0505,5.39,80.5
Qatar,Middle East,2019,7.8,9.1,59.613,1.86,79.1
Paraguay,South America,2022,20.2,23.8,146.917,6.51,73.3
Serbia,Rest of Europe,2020,9.9,11.5,150.293,7.5,72.3
Cote d'Ivoire,Africa,2015,83.4,122,438.23,18.75,50.6
China,Asia,2018,13.6,17,95.1415,1331.26,74.1
Cameroon,Africa,2022,61.6,96.7,351.1035,22.08,56.6
Thailand,Asia,2023,9.7,11.3,150.71,68.44,75.7
Philippines,Asia,2023,23.7,30.1,201.364,100.51,70.5
Somalia,Africa,2021,104.4,172.7,347.234,9.82,51.8
Haiti,Central America and Caribbean,2022,66.7,91.8,292.919,9.05,58.3
Oman,Middle East,2021,9.8,11.4,94.4245,3.5,76.1
Azerbaijan,Asia,2019,32.5,37.3,135.9235,9.05,70.9
Italy,European Union,2015,3.7,4.3,62.934,58.14,81.3
Montenegro,Rest of Europe,2019,12,13.6,138.1465,0.61,73.2
Seychelles,Africa,2017,12,13.9,158.361,0.09,73.2
Barbados,Central America and Caribbean,2017,14.1,15.3,110.5555,0.28,78.2
"Congo, Dem. Rep.",Africa,2022,97.5,140.9,318.9535,53.07,52.9
Lao PDR,Asia,2019,73.9,103.1,268.307,5.41,59.4
Japan,Asia,2015,2.7,3.6,66.533,127.85,82.3
Brazil,South America,2019,16.7,18.6,154.9275,195.71,73.6
Poland,European Union,2016,6.1,7,142.313,38.12,75.2
Tunisia,Africa,2023,14.9,17.3,92.8345,11.06,75.7
Moldova,Rest of Europe,2022,14,16.3,174.6775,2.86,71
Peru,South America,2017,17.1,22,135.759,28.56,73.8
Bhutan,Asia,2016,40.1,50.8,238.1335,0.66,66.7
Bosnia and Herzegovina,Rest of Europe,2020,8.2,9.3,115.273,3.76,74.8
United Arab Emirates,Middle East,2023,8.4,9.8,83.893,4.59,75.4
Qatar,Middle East,2022,9.3,10.8,65.436,0.75,78.1
Madagascar,Africa,2018,48.6,72,248.135,20.57,62.9
St. Lucia,Central America and Caribbean,2018,15.6,18.4,177.7395,0.16,73.3
Finland,European Union,2022,3.2,3.9,98.807,5.23,78.7
Lebanon,Middle East,2022,13.1,15.2,84.8885,4.57,76.4
Madagascar,Africa,2019,47.1,69.3,242.9055,21.15,63.4
India,Asia,2022,38.8,49,182.8295,1280.84,67.9
Somalia,Africa,2022,88.4,143,316.669,13.06,55.1
Eritrea,Africa,2023,34.9,47.9,261.8635,3.41,64.2
Eritrea,Africa,2017,41.5,59.4,304.7255,3.06,61
Netherlands,European Union,2020,3.6,4.3,63.881,16.69,81.2
Paraguay,South America,2022,25.6,30.8,162.571,5.73,71.5
Benin,Africa,2022,78.2,124.4,275.3955,7.75,56.9
China,Asia,2023,9,11.6,84.358,1371.86,75.6
Bhutan,Asia,2020,52.2,68.9,275.964,0.62,62.7
Estonia,European Union,2016,4.7,6,184.639,1.34,72.8
Ghana,Africa,2015,38.8,54.6,244.6325,27.85,62.8
Mauritius,Africa,2020,14.4,16.6,166.862,1.2,72
Afghanistan,Asia,2019,64.2,87.8,250.135,29.19,61
Philippines,Asia,2020,24.5,31.3,205.572,95.57,70
Mongolia,Asia,2021,19.4,22.8,219.993,2.82,68.2
Malawi,Africa,2020,48.8,77.6,357.892,14.96,57.2
Finland,European Union,2015,2,2.5,68.8685,5.48,81.5
Czechia,European Union,2021,3.9,4.8,120.2325,10.19,75.2
Fiji,Oceania,2019,19,22.3,218.489,0.81,65.9
Afghanistan,Asia,2015,53.2,70.4,227.735,34.41,63.4
Belize,Central America and Caribbean,2015,13.2,15.3,174.4925,0.36,74
Tajikistan,Asia,2017,39.7,46.3,149.14,7.21,67.9
Mozambique,Africa,2015,83.2,126.2,410.7595,21.08,50.6
Cuba,Central America and Caribbean,2023,5.9,7.4,101.699,11.26,77.7
Romania,European Union,2023,15.5,18.1,162.285,21.32,71.9
Burkina Faso,Africa,2023,61.2,104.5,262.583,17.59,59.5
Botswana,Africa,2020,43.9,78.3,587.989,1.7,50.2
Suriname,South America,2018,27.5,31.2,210.4495,0.47,67.8
Vietnam,Asia,2018,18.5,23.2,132.423,87.09,74.7
Oman,Middle East,2022,11.4,13.2,115.264,2.45,73.9
Vanuatu,Oceania,2016,23.9,28.6,153.7735,0.22,68.7
Vietnam,Asia,2018,23.5,29.8,139.3635,79.91,73
Belarus,Rest of Europe,2016,5.6,7.3,224.272,9.56,70.2
Cameroon,Africa,2020,66.6,105.8,359.557,20.91,55.6
"Iran, Islamic Rep.",Middle East,2020,26.7,32.2,143.8085,67.28,70.9
Kuwait,Middle East,2019,8.9,10.4,68.3055,2.99,74.4
Gabon,Africa,2023,47.7,73.6,314.8255,1.39,58.2
Belarus,Rest of Europe,2020,3.9,5.2,225.4045,9.46,70.6
Iraq,Middle East,2019,28.7,34.9,175.9375,29.74,68.6
Bulgaria,European Union,2018,14.4,17.5,161.911,8.17,71.7
Guinea-Bissau,Africa,2017,79.1,126.1,293.3925,1.45,53.6
Kuwait,Middle East,2022,10,11.6,83.6915,2.2,73.4
Mongolia,Asia,2015,30.5,37.4,249.112,2.56,65.5
Pakistan,Asia,2023,63.8,78.3,161.1745,195.31,66.4
Mongolia,Asia,2017,25.9,31.2,240.3135,2.63,66.4
Luxembourg,European Union,2020,2.3,2.8,66.33,0.52,81
"Bahamas, The",Central America and Caribbean,2018,13.6,15.9,170.07,0.35,72.1
Lebanon,Middle East,2020,15.1,17.5,92.6345,4.18,75.5
Bhutan,Asia,2019,54.8,72.9,283.9275,0.6,61.8
Madagascar,Africa,2023,55.9,84.8,263.646,18.34,61.2
Oman,Middle East,2017,10.3,12,102.805,2.75,75.2
Equatorial Guinea,Africa,2022,72.1,100.2,326.2985,1.08,56.6
"Iran, Islamic Rep.",Middle East,2023,13.8,16.1,83.49,77.47,75.5
Austria,European Union,2019,4.5,5.4,91.5155,8.04,78.6
Germany,European Union,2019,4.3,5.2,91.975,82.35,78.3
Belarus,Rest of Europe,2019,9.2,11.8,249.943,9.93,68.5
Argentina,South America,2022,11.3,12.7,119.885,42.2,75.8
Greece,European Union,2021,3.5,4,72.6245,11.05,80.6
Comoros,Africa,2018,63.7,86.9,247.4625,0.67,61.5
Australia,Oceania,2018,4.2,5,64.839,21.69,81.5
Malawi,Africa,2016,59.6,99.9,487.29,13.34,50.6
Central African Republic,Africa,2022,93,132.5,439.1325,4.45,49.4
Saudi Arabia,Middle East,2016,12.6,14.7,99.216,25.18,73.5
Nicaragua,Central America and Caribbean,2016,22.9,27.3,168.994,5.59,71.7
Netherlands,European Union,2021,4.8,5.7,79.8805,16.23,78.5
Solomon Islands,Oceania,2019,25.3,30.4,221.1905,0.42,67.8
Guatemala,Central America and Caribbean,2023,34.3,42.7,193.4335,12.95,69.8
"Micronesia, Fed. Sts.",Oceania,2019,30,36.7,183.8285,0.11,64.7
Sweden,European Union,2021,2.4,3,55.8855,9.52,81.7
Lebanon,Middle East,2015,7.1,8.3,60.3175,6.53,78.8
Sweden,European Union,2020,3.3,4,68.96,8.92,79.8
Morocco,Africa,2016,31.8,37.1,95.4645,31.16,73
Armenia,Rest of Europe,2023,21.1,23.7,142.8055,2.98,72.6
Ghana,Africa,2020,59.9,91.9,300.7015,20.25,57.4
Saudi Arabia,Middle East,2018,11.2,13,96.094,26.63,73.8
Mongolia,Asia,2022,18.3,21.5,217.6085,2.88,68.6
"Venezuela, RB",South America,2021,14.9,17.3,146.1275,29.36,73
Malawi,Africa,2022,70.1,119.7,549.7965,12.3,46.8
Spain,European Union,2018,3.3,4,67.2055,46.36,81.5
Somalia,Africa,2019,104.4,172.7,353.231,9.19,51.2
Lebanon,Middle East,2018,17,19.9,102.479,3.84,74.5
Canada,North America,2020,5.3,6.2,78.1635,31.36,79.5
Indonesia,Asia,2020,26.9,32.5,182.5805,245.12,69.5
Cabo Verde,Africa,2017,23.1,27.5,135.0125,0.48,70.8
El Salvador,Central America and Caribbean,2019,16.6,19.4,195.439,6.18,71.2
Iceland,Rest of Europe,2021,2,2.5,50.618,0.32,82.9
Kiribati,Oceania,2017,50,65.6,209.8995,0.1,65.2
Guinea-Bissau,Africa,2015,85.9,138.3,297.8265,1.38,52.7
Austria,European Union,2022,4.2,5.1,84.8235,8.17,79.2
Canada,North America,2023,4.7,5.4,66.418,35.44,81.8
Serbia,Rest of Europe,2019,10.6,12.2,150.105,7.5,72.2
Morocco,Africa,2022,37.2,43.7,122.5085,30.12,71.1
Eswatini,Africa,2022,69.1,119.7,606.731,1.03,42.7
Maldives,Asia,2019,28.5,34.6,124.3175,0.29,71
Burundi,Africa,2015,74.4,117.6,343.491,7.61,54.2
Philippines,Asia,2018,25,32.1,207.4785,92.41,69.7
"Congo, Rep.",Africa,2018,72.4,114.1,417.8705,3.13,52.1
Guinea,Africa,2021,71.8,113,282,10.65,57.9
Slovenia,European Union,2015,2.1,2.6,73.356,2.06,80.8
Hungary,European Union,2021,7.1,8.4,183.917,10.13,72.3
Afghanistan,Asia,2022,80,112.6,285.188,24.73,57.8
Sweden,European Union,2020,2.5,3,57.197,9.45,81.8
Jamaica,Central America and Caribbean,2015,13.4,15.5,132.2455,2.89,74.1
United Arab Emirates,Middle East,2023,6.7,7.8,69.616,9.21,77.1
Papua New Guinea,Oceania,2021,51.3,67.5,260.612,6.22,60
Guyana,South America,2022,34,42.2,224.933,0.75,66.4
Brazil,South America,2019,28.5,32.5,182.1315,177.2,70.5
Spain,European Union,2020,4.2,5.1,80.4485,41.43,79.6
Kiribati,Oceania,2019,50.7,66.6,219.7965,0.09,63.4
Belgium,European Union,2015,3.3,4.1,71.71,11.27,81
Equatorial Guinea,Africa,2015,67.6,93.2,328.8035,1.17,57.4
Montenegro,Rest of Europe,2022,4.1,4.9,104.853,0.62,76.5
Sri Lanka,Asia,2018,13.9,21.3,122.485,20.12,75.3
Oman,Middle East,2023,11,12.8,111.8095,2.51,74.2
Albania,Rest of Europe,2019,22.9,25.8,90.939,3.06,74.3
Bosnia and Herzegovina,Rest of Europe,2022,5.6,6.5,98.9245,3.54,76.6
Barbados,Central America and Caribbean,2015,13,14,99.0935,0.29,78.8
Afghanistan,Asia,2021,59.5,80.3,240.464,31.16,62.1
Tonga,Oceania,2018,14.5,16.9,158.283,0.1,69.7
Colombia,South America,2023,18.3,21.5,157.802,42.65,74.3
Solomon Islands,Oceania,2021,21,24.9,158.7095,0.56,71.3
Qatar,Middle East,2019,10.3,12,69.798,0.62,77.6
Tajikistan,Asia,2023,47,55.6,158.27,6.79,66.1
Iraq,Middle East,2018,29.5,36,179.8285,28.97,68.3
Tanzania,Africa,2018,48.7,75.4,331.2625,43.07,57.7
Cambodia,Asia,2019,73.4,96.6,251.68,12.41,59.3
Italy,European Union,2022,3.9,4.6,65.986,57.69,80.8
Seychelles,Africa,2021,12.4,14.4,153.147,0.09,74.3
Angola,Africa,2021,110.4,183.8,340.0665,18.12,48.4
Ireland,European Union,2015,4.1,4.9,76.8165,4.27,79.2
Brazil,South America,2023,22,24.8,168.2965,186.13,71.9
Jordan,Middle East,2020,16.7,19.5,114.4895,7.66,73.6
Brazil,South America,2018,30.4,34.7,186.4955,174.79,70.1
Bangladesh,Asia,2021,54.3,72.3,159.3365,134.79,66.9
Mali,Africa,2021,72.6,121,282.1,15.98,56.1
Greece,European Union,2017,3.5,4,77.0555,11.08,79.9
Singapore,Asia,2019,2.3,2.8,58.746,5.08,81.5
Madagascar,Africa,2017,50.3,74.8,253.3645,20,62.5
Costa Rica,Central America and Caribbean,2018,9.3,10.7,92.9325,4.52,78.6
Eritrea,Africa,2016,43,61.9,312.3995,3,60.2
Dominican Republic,Central America and Caribbean,2018,29,35.3,171.2385,9.58,71.8
Spain,European Union,2017,3.4,4.2,70.114,45.95,81.2
Solomon Islands,Oceania,2018,22.8,27.1,174.1935,0.52,70.4
Norway,Rest of Europe,2021,3.6,4.4,75.5335,4.56,79.4
Papua New Guinea,Oceania,2016,47.8,62.1,241.003,6.81,61.1
Togo,Africa,2016,62.9,97.3,327.9225,5.92,55.6
Lao PDR,Asia,2022,45.7,59,203.4325,6.54,65.7
Senegal,Africa,2018,44.1,69.8,217.6005,12.34,63.6
Burundi,Africa,2019,59.4,91,319.9625,8.68,57.2
Japan,Asia,2015,2,2.7,53.586,127.14,83.8
Brunei Darussalam,Asia,2023,7.7,9.5,95.93,0.37,74
Botswana,Africa,2021,40.2,50.8,310.831,2.04,63.5
Croatia,European Union,2022,6.1,7,115.04,4.3,75.5
Nigeria,Africa,2017,87.7,141.7,383.7715,150.27,49.9
Zimbabwe,Africa,2022,44.8,66.3,405.008,13.35,56.9
Kazakhstan,Asia,2020,32.6,37.5,284.836,14.86,66
Mauritius,Africa,2023,12.9,14.8,145.373,1.26,74.2
North Macedonia,Rest of Europe,2015,10,11.4,97.197,2.07,75.4
Morocco,Africa,2015,20.2,23.5,70.9135,34.66,75.7
Singapore,Asia,2023,2.3,2.9,67.5915,4.27,80
Slovenia,European Union,2016,3.1,3.8,99.0175,2.02,78.6
United States,North America,2021,6.9,8.1,113.733,290.11,77
New Zealand,Oceania,2018,5.2,6.2,71.942,4.3,80.7
Jamaica,Central America and Caribbean,2015,16.7,19.6,150.5335,2.75,74.1
Comoros,Africa,2015,68.4,94.4,258.699,0.63,60.4
Pakistan,Asia,2021,79.3,100.2,183.668,153.09,63.5
Estonia,European Union,2019,8,10.1,223.511,1.39,70.3
Armenia,Rest of Europe,2019,16.3,18.3,136.1865,2.88,73.3
Slovak Republic,European Union,2021,5.5,6.6,115.561,5.41,76.1
Samoa,Oceania,2017,16.5,19.3,138.431,0.18,71.2
Uzbekistan,Asia,2020,23.4,26.4,152.8095,29.34,69.9
Qatar,Middle East,2021,7.4,8.7,58.689,2.2,79.4
Namibia,Africa,2018,38.5,51.6,441.7035,2.08,55.2
Lebanon,Middle East,2022,7.7,9,62.766,5.91,78.7
Afghanistan,Asia,2021,82.7,116.9,292.0365,23.68,57.3
Lesotho,Africa,2016,73.8,114.3,579.412,1.99,42.9
Lithuania,European Union,2015,6.9,8.6,229.4005,3.27,71.1
Slovak Republic,European Union,2015,5.1,6.2,110.515,5.42,76.6
